id,neighbourhood_cleansed,room_type_simple,accommodates,bedrooms,price_clean,price_category,latitude,longitude,review_scores_rating,number_of_reviews,host_is_superhost
1393512103523039748,Campo Grande,Casa/Apto Inteiro,3,1.0,128.0,Muito Baixo,-22.88041,-43.57478,5.0,15,t
953543051044554795,Copacabana,Casa/Apto Inteiro,4,1.0,250.0,Baixo,-22.978247892921264,-43.19315326425359,4.89,9,f
1305829472261926902,Copacabana,Casa/Apto Inteiro,2,1.0,176.0,Baixo,-22.97201331937083,-43.18802031972615,4.2,5,f
1065278528957931183,Botafogo,Casa/Apto Inteiro,3,1.0,,,-22.95696,-43.18164,,0,f
1138423959843761331,Copacabana,Casa/Apto Inteiro,4,2.0,408.0,Médio-Baixo,-22.976892682220157,-43.18861041199279,4.85,27,t
1026751830094357196,Barra da Tijuca,Casa/Apto Inteiro,7,2.0,476.0,Médio-Baixo,-23.011365,-43.2951594,5.0,1,f
4820924,Santa Teresa,Quarto Privado,1,1.0,376.0,Médio-Baixo,-22.92578,-43.18968,5.0,6,f
1282525268550730653,Copacabana,Casa/Apto Inteiro,4,0.0,205.0,Baixo,-22.9640091,-43.1772697,4.92,13,t
1307888492773977451,Copacabana,Quarto Privado,1,1.0,250.0,Baixo,-22.96978,-43.18525,,0,
797758055245981265,Copacabana,Casa/Apto Inteiro,4,1.0,267.0,Baixo,-22.9805419,-43.1909412,4.89,129,t
724485789894492471,Santa Teresa,Quarto Privado,1,1.0,70.0,Muito Baixo,-22.92959,-43.19391,,0,f
1230354852554065096,Copacabana,Casa/Apto Inteiro,3,1.0,264.0,Baixo,-22.966574100321065,-43.18527213862304,4.5,10,f
936918260708241607,Campo Grande,Quarto Privado,1,1.0,165.0,Baixo,-22.89482,-43.58689,,0,f
1392767603042474550,São Conrado,Casa/Apto Inteiro,8,3.0,2379.0,Alto,-22.991567208046217,-43.27407561242581,,0,f
1095142504300389521,Gávea,Quarto Privado,2,1.0,224.0,Baixo,-22.9807325,-43.2326355,,0,f
1318370490817074077,Copacabana,Casa/Apto Inteiro,8,3.0,923.0,Médio,-22.97299,-43.18895,5.0,5,f
627524379817185527,Copacabana,Quarto Privado,1,1.0,858.0,Médio,-22.965979,-43.188564,,0,f
13554846,Jacarepaguá,Casa/Apto Inteiro,4,2.0,1100.0,Médio-Alto,-22.96369,-43.39951,,0,f
14026293,Lagoa,Casa/Apto Inteiro,4,2.0,1440.0,Médio-Alto,-22.97403,-43.19953,,0,f
700146148275620682,Barra da Tijuca,Casa/Apto Inteiro,6,2.0,2853.0,Alto,-22.97452,-43.39349,5.0,2,f
